title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
GROUP PROCESSING WORKER,https://cityjobs.nyc.gov/job/group-processing-worker-in-manhattan-jid-25423,2024-08-10,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Revenue/Admin-NM,MANHATTAN,375 Pearl Street,Full-Time,"$45,090.00 – $66,844.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,645697,3
PROGRAM ANALYST,https://cityjobs.nyc.gov/job/program-analyst-in-manhattan-jid-25538,2024-08-15,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Off Of Qual Asse-Fisc Int NM,MANHATTAN,4 World Trade Center,Full-Time,"$77,158.00 – $88,732.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,646042,1
DATABASE ADMINISTRATOR AND DEVELOPER,https://cityjobs.nyc.gov/job/database-administrator-and-developer-in-manhattan-jid-23417,2024-05-21,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,DSS ACCOUNTABILITY OFFICE MGR,MANHATTAN,4 World Trade Center,Full-Time,"$108,071.00 – $124,282.00",Administration & Human Resources,Manager,No Exam Required,636511,1
"Customer Service Liaison, Bureau of Food Safety and Community Sanitation",https://cityjobs.nyc.gov/job/customer-service-liaison-bureau-of-food-safety-and-community-sanitation-in-manhattan-jid-35874,2025-08-23,2026-02-20,DEPT OF HEALTH/MENTAL HYGIENE,Food Safety & Community Sanit,MANHATTAN,"125 Worth Street, Nyc",Full-Time,"$57,783.00 – $62,313.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,703495,1
Executive Director,https://cityjobs.nyc.gov/job/executive-director-in-manhattan-jid-35385,2025-08-06,2026-04-14,DEPARTMENT OF INVESTIGATION,CCPC,MANHATTAN,17 Battery Place,Full-Time,"$113,690.00 – $203,000.00",Legal Affairs,Executive,No Exam Required,723665,1
Case Manager,https://cityjobs.nyc.gov/job/case-manager-in-manhattan-jid-23445,2024-05-22,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Domestic Violence-NM,MANHATTAN,4 World Trade Center,Full-Time,"$45,329.00 – $77,633.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,633318,1
Project Portfolio Manager,https://cityjobs.nyc.gov/job/project-portfolio-manager-in-brooklyn-jid-28701,2024-12-24,2025-10-27,NYC EMPLOYEES RETIREMENT SYS,Executive Management,BROOKLYN,"335 Adams Street, Brooklyn Ny",Full-Time,"$81,083.00 – $150,000.00",Administration & Human Resources,Manager,Exam May Be Required,695036,1
PROJECT MANAGER (2 POSITIONS),https://cityjobs.nyc.gov/job/project-manager-2-positions-in-manhattan-jid-28268,2024-12-06,2025-10-27,CAMPAIGN FINANCE BOARD,Managerial,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$80,001.00 – $90,000.00",Communications & Intergovernmental Affairs,Experienced (Non-Manager),No Exam Required,691631,2
Documentation reviewer,https://cityjobs.nyc.gov/job/documentation-reviewer-in-manhattan-jid-26212,2024-09-13,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Employment/Contract Svcs-NM,MANHATTAN,"123 William Street, NY, NY",Full-Time,"$40,957.00 – $66,353.00",Social Services,Entry-Level,Exam May Be Required,679712,1
"ASSISTANT DEPUTY COMMISSIONER, DATA SECURITY OPERATIONS",https://cityjobs.nyc.gov/job/assistant-deputy-commissioner-data-security-operations-in-manhattan-jid-26231,2024-09-14,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,DSS ACCOUNTABILITY OFFICE MGR,MANHATTAN,155 West Broadway New York N Y,Full-Time,"$98,231.00 – $174,064.00",Administration & Human Resources,Manager,Exam May Be Required,679854,1
SENIOR IT PROJECT SPECIALIST,https://cityjobs.nyc.gov/job/senior-it-project-specialist-in-manhattan-jid-26216,2024-09-13,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Off Of Child Enforc-NM,MANHATTAN,4 World Trade Center,Full-Time,"$111,313.00 – $128,010.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,678932,1
SENIOR DESKTOP SUPPORT SPECIALIST,https://cityjobs.nyc.gov/job/senior-desktop-support-specialist-in-brooklyn-jid-26012,2024-09-05,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Mgmt Information System-NM,BROOKLYN,15 Metrotech,Full-Time,"$80,707.00 – $92,813.00","Technology, Data & Innovation",Experienced (Non-Manager),Exam May Be Required,656879,1
ASSISTANT DEPUTY COMMISSIONER OF FIELD OPERATIONS,https://cityjobs.nyc.gov/job/assistant-deputy-commissioner-of-field-operations-in-manhattan-jid-25241,2024-08-03,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Hasa Hiv/Aids Svcs Admin-Mgr,MANHATTAN,375 Pearl Street,Full-Time,"$91,090.00 – $228,190.00",Administration & Human Resources,Manager,Exam May Be Required,644604,1
"Assistant Corporation Counsel, Tort Division",https://cityjobs.nyc.gov/job/assistant-corporation-counsel-tort-division-in-nyc-all-boros-jid-25200,2024-08-01,2025-10-27,LAW DEPARTMENT,Tort: New York,NYC-ALL BOROS,"100 Church St., N.Y.",Full-Time,"$87,550.00 – $175,100.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,644623,2
