title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
DEPUTY COMMISSIONER HPA/HHSI,https://cityjobs.nyc.gov/job/deputy-commissioner-hpa-hhsi-in-manhattan-jid-19779,2024-01-23,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Housing-Homles SV/INIT NM,MANHATTAN,"109 E 16Th St., N.Y.",Full-Time,"$88,936.00 – $223,761.00",Administration & Human Resources,Executive,Exam May Be Required,622442,1
WAGE SUBSIDY PROCESSING CLERK,https://cityjobs.nyc.gov/job/wage-subsidy-processing-clerk-in-manhattan-jid-19189,2024-01-06,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Employment/Contract Svcs-NM,MANHATTAN,"123 William Street, NY, NY",Full-Time,"$39,763.00 – $45,728.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,622154,1
ASSISTANT CORPORATION COUNSEL,https://cityjobs.nyc.gov/job/assistant-corporation-counsel-in-manhattan-jid-19408,2024-01-13,2025-10-27,LAW DEPARTMENT,COMM. LIT. (PART-TIME),MANHATTAN,"100 Church St., N.Y.",Part-Time,$41.42 – $85.25,Legal Affairs,Experienced (Non-Manager),No Exam Required,622389,1
SENIOR MICROSOFT POWER BI DEVELOPER,https://cityjobs.nyc.gov/job/senior-microsoft-power-bi-developer-in-manhattan-jid-20212,2024-02-02,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Data Reporting/Analysis-NM,MANHATTAN,4 World Trade Center,Full-Time,"$108,071.00 – $124,282.00","Technology, Data & Innovation",Experienced (Non-Manager),Exam May Be Required,621984,1
SENIOR ELECTRICAL ENGINEER,https://cityjobs.nyc.gov/job/senior-electrical-engineer-in-manhattan-jid-16076,2023-10-07,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,General Support Services-NM,MANHATTAN,375 Pearl Street,Full-Time,"$88,026.00 – $101,230.00","Engineering, Architecture, & Planning",Experienced (Non-Manager),Exam May Be Required,610175,1
AEP Coordinator,https://cityjobs.nyc.gov/job/aep-coordinator-in-nyc-all-boros-jid-37278,2025-10-15,2025-10-24,HOUSING PRESERVATION & DVLPMNT,Alt Enforcement Program,NYC-ALL BOROS,100 Gold Street,Full-Time,"$62,868.00 – $72,298.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,750405,1
"Assistant Director, Assisted Outpatient Treatment",https://cityjobs.nyc.gov/job/assistant-director-assisted-outpatient-treatment-in-nyc-all-boros-jid-37365,2025-10-17,2025-12-15,DEPT OF HEALTH/MENTAL HYGIENE,MH - Assisted Out Treatment,NYC-ALL BOROS,42-09 28th Street,Full-Time,"$68,214.00 – $119,545.00",Health,Experienced (Non-Manager),Exam May Be Required,751640,1
Senior Coordinator for Citywide Special Events,https://cityjobs.nyc.gov/job/senior-coordinator-for-citywide-special-events-in-manhattan-jid-37364,2025-10-17,2025-10-31,DEPT OF PARKS & RECREATION,Special Events,MANHATTAN,"Arsenal 830 Fifth Ave, New Yor",Full-Time,"$62,868.00 – $97,593.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,751653,1
Clearance Administrator,https://cityjobs.nyc.gov/job/clearance-administrator-in-nyc-all-boros-jid-37363,2025-10-17,2025-12-15,DEPT OF HEALTH/MENTAL HYGIENE,Child Care,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$48,206.00 – $55,437.00",Health,Experienced (Non-Manager),Exam May Be Required,751645,1
Clearance Administrator,https://cityjobs.nyc.gov/job/clearance-administrator-in-nyc-all-boros-jid-37362,2025-10-17,2025-12-15,DEPT OF HEALTH/MENTAL HYGIENE,Child Care,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$48,206.00 – $55,437.00",Health,Experienced (Non-Manager),Exam May Be Required,751649,2
Legal Secretarial Assistant (Per Diem),https://cityjobs.nyc.gov/job/legal-secretarial-assistant-per-diem-in-nyc-all-boros-jid-37361,2025-10-17,2025-12-15,DEPT OF HEALTH/MENTAL HYGIENE,OCME - General Counsel,NYC-ALL BOROS,421 East 26th Street NY NY,Full-Time,"$52,375.00 – $66,393.00",Health,Experienced (Non-Manager),Exam May Be Required,751412,1
Project Development Coordinator for Concessions,https://cityjobs.nyc.gov/job/project-development-coordinator-for-concessions-in-manhattan-jid-37360,2025-10-17,2025-10-31,DEPT OF PARKS & RECREATION,Revenue,MANHATTAN,"Arsenal 830 Fifth Ave, New Yor",Full-Time,"$62,868.00 – $97,593.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,751641,1
SUPERVISING ATTORNEY IV,https://cityjobs.nyc.gov/job/supervising-attorney-iv-in-manhattan-jid-37359,2025-10-17,2025-12-15,HRA/DEPT OF SOCIAL SERVICES,Office Of Legal Affairs-NM,MANHATTAN,4 World Trade Center,Full-Time,"$96,638.00 – $111,133.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,751638,1
Senior Counsel,https://cityjobs.nyc.gov/job/senior-counsel-in-manhattan-jid-37358,2025-10-17,2025-11-05,NYC HOUSING AUTHORITY,Law Dept-Litigation,MANHATTAN,General Litigation,Full-Time,"$118,000.00 – $130,000.00",Legal Affairs,Manager,No Exam Required,749667,1
FAIR HEARING SERVICE SPECIALIST,https://cityjobs.nyc.gov/job/fair-hearing-service-specialist-in-manhattan-jid-37357,2025-10-17,2025-12-15,HRA/DEPT OF SOCIAL SERVICES,Fair Hearing NM,MANHATTAN,"132 W 125Th St., N.Y.",Full-Time,"$60,275.00 – $69,316.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,749804,1
AGENCY ATTORNEY L3,https://cityjobs.nyc.gov/job/agency-attorney-l3-in-nyc-all-boros-jid-37356,2025-10-17,2025-12-15,NYC HOUSING AUTHORITY,Law Dept-Litigation,NYC-ALL BOROS,General Litigation,Full-Time,"$106,404.00 – $120,000.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,749766,1
FAIR HEARING REPRESENTATIVE,https://cityjobs.nyc.gov/job/fair-hearing-representative-in-brooklyn-jid-37355,2025-10-17,2025-12-15,HRA/DEPT OF SOCIAL SERVICES,Fair Hearing NM,BROOKLYN,470 Vanderbilt Ave,Full-Time,"$70,646.00 – $81,243.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,749819,1
Housing Stock Worker,https://cityjobs.nyc.gov/job/housing-stock-worker-in-nyc-all-boros-jid-37354,2025-10-17,2025-11-05,NYC HOUSING AUTHORITY,Logistics & Inventory,NYC-ALL BOROS,Office Of The Senior Director,Full-Time,"$35,562.00 – $54,853.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,750038,1
"SECTION MANAGER, FAIR HEARINGS OPERATIONS",https://cityjobs.nyc.gov/job/section-manager-fair-hearings-operations-in-brooklyn-jid-37353,2025-10-17,2025-12-15,HRA/DEPT OF SOCIAL SERVICES,Fair Hearing NM,BROOKLYN,470 Vanderbilt Ave,Full-Time,"$66,062.00 – $75,971.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,750000,1
Assistant Corporation Counsel - Appeals,https://cityjobs.nyc.gov/job/assistant-corporation-counsel-appeals-in-manhattan-jid-36964,2025-10-02,,LAW DEPARTMENT,Appeals,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$95,713.00 – $180,791.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,748363,1
DIRECTOR OF WECARE OPERATIONS,https://cityjobs.nyc.gov/job/director-of-wecare-operations-in-manhattan-jid-37091,2025-10-07,2025-12-05,HRA/DEPT OF SOCIAL SERVICES,Customized Assist Svc-NM,MANHATTAN,4 World Trade Center,Full-Time,"$68,214.00 – $125,133.00",Social Services,Experienced (Non-Manager),Exam May Be Required,749048,1
Confidential Investigator,https://cityjobs.nyc.gov/job/confidential-investigator-in-manhattan-jid-36980,2025-10-02,2026-01-15,DEPARTMENT OF INVESTIGATION,Various Units,MANHATTAN,180 Maiden Lane,Full-Time,"$52,426.00 – $58,104.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),No Exam Required,748545,1
